rank_num,movie_name,actors,release_time,score
89,七武士,"主演：三船敏郎,志村乔,千秋实",上映时间：1954-04-26(日本),9.1
90,一一,"主演：吴念真,金燕玲,李凯莉",上映时间：2000-05-15(法国),8.9
91,龙猫,"主演：秦岚,糸井重里,岛本须美",上映时间：2018-12-14,9.1
92,爱·回家,"主演：俞承豪,金艺芬,童孝熙",上映时间：2002-04-05(韩国),9.0
93,阿飞正传,"主演：张国荣,张曼玉,刘德华",上映时间：2018-06-25,8.8
94,我爱你,"主演：宋在浩,李顺才,尹秀晶",上映时间：2011-02-17(韩国),9.0
95,黄金三镖客,"主演：克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",上映时间：1966-12-23(意大利),8.9
96,海洋,"主演：雅克·贝汉,姜文,兰斯洛特·佩林",上映时间：2011-08-12,8.9
97,迁徙的鸟,"主演：雅克·贝汉,Philippe Labro",上映时间：2001-12-12(法国),9.1
98,千与千寻,"主演：柊瑠美,周冬雨,入野自由",上映时间：2019-06-21,9.3
99,海上钢琴师,"主演：蒂姆·罗斯,比尔·努恩,克兰伦斯·威廉姆斯三世",上映时间：2019-11-15,9.3
100,美丽人生,"主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",上映时间：2020-01-03,9.3
