数据由python量化入门课程提供
股票代码,股票名称,交易日期,新浪概念,收盘价,涨跌幅,成交量,MACD_金叉死叉
sz000002,万科Ａ,11/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,19.9,0.018424,203500800,
sz000002,万科Ａ,10/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,19.54,-0.000512,306737400,
sz000002,万科Ａ,09/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,19.55,0.100169,359851900,
sz000002,万科Ａ,08/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.77,-0.013873,152988600,
sz000002,万科Ａ,07/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,18.02,-0.05058,225571900,
sz000002,万科Ａ,04/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,18.98,-0.008877,376800900,
sz000002,万科Ａ,03/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,19.15,0.04989,477123600,
sz000002,万科Ａ,02/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,18.24,0.100121,638988600,
sz000002,万科Ａ,01/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,16.58,0.100199,375016300,
sz000002,万科Ａ,30/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,15.07,0.056802,202000900,金叉
sz000002,万科Ａ,27/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.26,-0.016552,88815500,死叉
sz000002,万科Ａ,26/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.5,-0.004121,38374800,
sz000002,万科Ａ,25/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.56,0.004138,58181800,
sz000002,万科Ａ,24/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.5,0.009047,74568600,
sz000002,万科Ａ,23/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.37,-0.008282,62928800,
sz000002,万科Ａ,20/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.49,-0.00069,73248200,
sz000002,万科Ａ,19/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.5,-0.011588,88604400,
sz000002,万科Ａ,18/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.67,0.047857,175344300,金叉
sz000002,万科Ａ,17/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14,0,65129900,死叉
sz000002,万科Ａ,16/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14,0.007194,32070700,
sz000002,万科Ａ,13/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.9,-0.013485,38362800,
sz000002,万科Ａ,12/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.09,-0.005646,53485000,
sz000002,万科Ａ,11/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.17,-0.007008,57861200,
sz000002,万科Ａ,10/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.27,-0.009028,52460000,
sz000002,万科Ａ,09/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.4,0.013371,83050500,
sz000002,万科Ａ,06/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.21,0.006374,50176400,
sz000002,万科Ａ,05/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.12,0.002841,92318000,
sz000002,万科Ａ,04/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,14.08,0.030747,76865400,
sz000002,万科Ａ,03/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.66,0.007375,29760400,
sz000002,万科Ａ,02/11/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.56,-0.008047,32898900,
sz000002,万科Ａ,30/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.67,0.003671,29831700,
sz000002,万科Ａ,29/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.62,-0.002928,27891700,
sz000002,万科Ａ,28/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.66,-0.002191,34416400,
sz000002,万科Ａ,27/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.69,0.001463,34463300,
sz000002,万科Ａ,26/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.67,-0.005095,78036000,
sz000002,万科Ａ,23/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.74,0.029213,67564500,
sz000002,万科Ａ,22/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.35,0.00907,45233400,
sz000002,万科Ａ,21/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.23,-0.023616,55800500,
sz000002,万科Ａ,20/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.55,0.001478,40724600,
sz000002,万科Ａ,19/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.53,-0.008791,57448700,
sz000002,万科Ａ,16/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.65,0.009615,50645200,
sz000002,万科Ａ,15/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.52,0.018072,43805300,
sz000002,万科Ａ,14/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.28,-0.014105,54490400,
sz000002,万科Ａ,13/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.47,-0.000742,56889300,
sz000002,万科Ａ,12/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.48,0.018896,78417100,
sz000002,万科Ａ,09/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.23,0.012242,63450500,金叉
sz000002,万科Ａ,08/10/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.07,0.026709,82086200,
sz000002,万科Ａ,30/09/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,12.73,0.010317,48951800,
sz000002,万科Ａ,29/09/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,12.6,-0.019455,59787800,
sz000002,万科Ａ,28/09/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,12.85,-0.003876,41265600,
sz000002,万科Ａ,25/09/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,12.9,-0.014515,44228000,
sz000002,万科Ａ,24/09/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.09,-0.004563,44359600,
sz000002,万科Ａ,23/09/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,13.15,-0.008296,32059700,
